#--------------------------------------------------------------
   685   -0.779    0.550  184.776 
   686   -1.668    0.550  174.870 
   687   -0.418    0.558  158.791 
   688    0.231    0.560  177.736 
   689    0.080    0.569  164.844 
   690    0.264    0.558  177.851 
   691   -0.210    0.555  224.468 
   692    0.159    0.559  191.506 
   693   -0.038    0.570  205.697 
   694    0.081    0.568  149.451 
   695   -0.950    0.565  199.223 
   696   -1.873    0.569  201.881 
   697   -1.249    0.567  175.703 
   698   -1.212    0.579  189.373 
   699   -1.854    0.563  218.139 
   700   -1.270    0.558  186.968 
   701   -0.899    0.562  222.763 
   702   -0.582    0.572  152.791 
   703   -0.102    0.548  183.334 
   704    0.904    0.570  174.103 
   705    1.380    0.544  184.731 
   706    1.588    0.541  202.685 
   707    1.836    0.550  182.679 
   708    1.825    0.551  193.122 
   709    1.772    0.560  182.985 
   710    0.853    0.554  170.287 
   711    0.031    0.553  193.869 
   712   -0.336    0.549  192.550 
   713   -0.439    0.543  202.786 
   714    0.002    0.558  176.057 
   715   -0.409    0.542  201.771 
   716   -0.167    0.558  180.602 
   717    0.666    0.547  169.869 
   718   -0.046    0.559  168.004 
   719    0.385    0.558  197.684 
   720    1.003    0.573  175.413 
   721    0.948    0.556  202.967 
   722    0.176    0.549  203.433 
   723    1.249    0.548  205.390 
   724    0.726    0.554  167.171 
   725    0.381    0.572  149.731 
   726    0.426    0.574  150.070 
   727    0.171    0.584  151.102 
   728   -0.516    0.569  151.632 
   729   -0.417    0.578  168.121 
   730   -0.814    0.575  183.465 
   731   -1.673    0.576  142.968 
   732   -0.513    0.589  135.602 
   733   -1.095    0.589  148.210 
   734   -0.865    0.582  134.525 
   735   -0.175    0.577  153.166 
   736    0.795    0.579  116.095 
   737    0.931    0.575  118.046 
   738    0.754    0.568  145.916 
   739    0.295    0.576  160.348 
   740    1.299    0.575  169.092 
   741    1.259    0.568  166.053 
   742   -0.089    0.570  170.548 
   743   -0.305    0.579  161.348 
   744   -0.866    0.579  141.122 
   745   -0.529    0.569  173.246 
   746   -0.281    0.572  170.196 
   747   -0.534    0.582  123.816 
